Timestamp,name,floor,floor,district,roomsize_sqm,dt bts_km,carpark_room,fitness,finess_c,pool,poor_c,dt_shopping_km,dt_expressway_km,security,รปภ,gard,คียการด์,keycard,กล้องวงจรปิด,cctv,ระบบแสกนใบหน้า,face_recog,central_value,bedroom,bathroom,gift_value,project_owner,land_value_baht_wa,create_year,value
2019/04/05 1:57:22 PM GMT+7,เดอะทรัสต์ คอนโด แอท บีทีเอส เอราวัณ,28,30, เมืองสมุทรปราการ,28.5,0.5,0.8,มี,1,มี,1,5.9,0,คียการด์;กล้องวงจรปิด,0,0,1,1,1,1,0,0,15660,1,1,0,บริษัท เดอะ คอนฟิเด้นซ์ จำกัด,94178,2557,2750000
2019/04/05 3:50:07 PM GMT+7,The Estate @ Thapra ดิ เอสเตท แอท ท่าพระ,8,8,เขตบางกอกใหญ่ ,28.46,2.7,1,มี,1,มี,1,2.9,8.5,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,10245,1,1,1460000,บริษัท ดิเอสเตท จำกัด,100000,2555,1650000
2019/04/05 4:05:45 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,2,22,บางกอกใหญ่,27,2.2,1,มี,1,มี,1,2,5.3,รปภ;กล้องวงจรปิด,1,1,0,0,1,1,0,0,24000,1,1,2900000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2559,2900000
2019/04/05 4:08:17 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,10,22,เขตบางกอกใหญ่,34,2.1,1,มี,1,มี,1,2,5.3,รปภ;กล้องวงจรปิด,1,1,0,0,1,1,0,0,18360,1,1,4491000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2559,4491000
2019/04/05 4:10:33 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,22,22,เขตบางกอกใญ่,63,2.1,2,มี,1,มี,1,2,5.3,รปภ;กล้องวงจรปิด,1,1,0,0,1,1,0,0,36000,1,1,6500000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2559,6500000
2019/04/05 8:15:46 PM GMT+7,The Prodigy,11,33,ภาษีเจริญ,34.5,6.7,1,มี,1,มี,1,1,6.7,รปภ;คียการด์,1,1,1,1,0,0,0,0,15000,1,1,2900000,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,120000,2558,2900000
2019/04/05 8:20:45 PM GMT+7,The prodigy,6,33,ภาษีเจริญ,51,6.7,2,มี,1,มี,1,1,10,รปภ;คียการด์,1,1,1,1,0,0,0,0,15000,2,1,3978400,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,120000,2557,2900000
2019/04/05 8:33:26 PM GMT+7,The Niche Bangkae,8,8,บางแค,27,1,1,มี,1,มี,1,1.5,13,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,12312,1,1,1500000,SENA Development,170000,2553,1500000
2019/04/05 8:39:03 PM GMT+7,The Niche Bangkae,5,8,บางแค,30.5,1,1,มี,1,มี,1,1.5,13,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,13908,1,1,1960000,SENA Development,170000,2553,1960000
2019/04/05 8:51:04 PM GMT+7,Fuse Sense Bangkae,11,24,บางแค,24.5,9.8,1,มี,1,มี,1,1.7,12.6,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,12000,1,1,1290000,Pruksa Real Estate,170000,2558,1290000
2019/04/05 10:32:11 PM GMT+7,Ease ,7,18,พระราม2,27,20,0.8,มี,1,มี,1,0.8,6.4,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,4000,1,1,70000,LH,100000,2562,1800000
2019/04/06 1:47:36 AM GMT+7,The lake metro park,1,8,ภาษีเจริญ,34,2,1,มี,1,มี,1,3,8,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,12000,1,1,200000,PF,120000,2559,1800000
2019/04/06 2:18:36 AM GMT+7,เดอะ คีย์ MRT เพชรเกษม 48,7,30,ภาษีเจริญ,27.8,1.3,0.46,มี,1,มี,1,1.5,10.2,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,18348,1,1,400000,แลนด์แอนด์เฮ้าส์,103900,2561,2890000
2019/04/06 2:28:33 AM GMT+7,MAXXI Ratchayothin – Phahol 34,3,8,จตุจักร ,22,1.1,0.8,มี,1,มี,1,3.8,4.8,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,12000,3,1,0,บริษัท แม็กซิมัส เอสเตท จำกัด ร่วมกับ บจก.อาร์เคพลัส เอสเตท จำกัด,79090,2561,1740000
2019/04/06 2:39:41 AM GMT+7,MAGNIX Ramintra 21,4,8,บางเขน ,23,0.3,0.8,มี,1,มี,1,1.5,5.4,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,12000,1,1,0,บริษัท เดอะ รอยัล เรสซิเดนซ์ จำกัด,73600,2562,1590000
2019/04/06 2:47:17 AM GMT+7,ชีวาทัย เพชรเกษม 27 ,10,26,ภาษีเจริญ,23,0.3,0.8,มี,1,มี,1,0.1,14.7,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,9660,1,1,0,บริษัท ชีวาทัย จำกัด (มหาชน),85000,2559,2200000
2019/04/06 2:53:05 AM GMT+7,แอสปาย สุขุมวิท-อ่อนนุช,3,8,สวนหลวง,26.5,2.3,0.8,มี,1,มี,1,0.9,5.1,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,18132,1,1,0,AP Thailand,86000,2562,1890000
2019/04/10 2:50:47 PM GMT+7,Present Condo,3,8,ธนบุรี,32,4.2,0,มี,1,มี,1,2.1,7,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,17600,1,1,100000,บริษัท พรีบิลท์ จำกัด (มหาชน),90000,2559,1390000
2019/04/10 2:52:44 PM GMT+7,PE-LA วุฒากาศ,9,21,จอมทอง,33,0.1,0.47,มี,1,มี,1,1.3,6.5,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,17820,2,2,100000,บริษัท ชนันธร ดีเวลลอปเม้นท์ กรุ๊ป จำกัด,85000,2559,2300000
2019/04/10 2:54:39 PM GMT+7,NYE By Sansiri,10,30,คลองสาน,35,0.35,0.52,มี,1,มี,1,1.5,2.6,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,17820,1,1,100000,บริษัท แสนสิริ จำกัด (มหาชน),145000,2559,3300000
2019/04/10 2:56:41 PM GMT+7,นิช ไอดี พระราม 2- ดาวคะนอง,5,8,จอมทอง,28,7,0.48,มี,1,มี,1,5,1,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,17820,1,1,0,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2558,1620000
2019/04/10 2:58:39 PM GMT+7,แอสปาย สาทร-ตากสิน (คอปเปอร์ โซน),5,21,ภาษีเจริญ,26,0.55,0.35,มี,1,มี,1,3,7.7,รปภ;คียการด์;กล้องวงจรปิด,1,1,1,1,1,1,0,0,10140,1,1,150000,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),175000,2558,1990000
